Actual Plant 코드,Actual Plant 명,Ship-to party,Shipment Route,Region Code,광역도시,시군구
11R2,평택RDC,KP13124,KRD900,CCA,강원도,강릉시
11R2,평택RDC,KP13266,KRD980,CIA,강원도,원주시
11R2,평택RDC,2895,KRD9B0,CVA,강원도,철원군
11R2,평택RDC,3019216,KRD9B0,CVA,강원도,철원군
11R2,평택RDC,6416,KRD9B0,CVA,강원도,철원군
11R2,평택RDC,9808,KRD9B0,CVA,강원도,철원군
11R2,평택RDC,KH01308,KRD9B0,CVA,강원도,철원군
11R2,평택RDC,KP12452,KRD9B0,CVA,강원도,철원군
11R2,평택RDC,3000128,KRD800,HEA,경기도,가평군
11R2,평택RDC,8133,KRD800,HEA,경기도,가평군
11R2,평택RDC,KH08428,KRD800,HEA,경기도,가평군
11R2,평택RDC,KH10971,KRD800,HEA,경기도,가평군
11R2,평택RDC,KH11271,KRD800,HEA,경기도,가평군
11R2,평택RDC,KP11337,KRD800,HEA,경기도,가평군
11R2,평택RDC,KP13046,KRD800,HEA,경기도,가평군
11R2,평택RDC,KP13279,KRD800,HEA,경기도,가평군
11R2,평택RDC,10117,KRD810,FJA,경기도,고양시 덕양구
11R2,평택RDC,10310,KRD810,FJA,경기도,고양시 덕양구
11R2,평택RDC,10356,KRD810,FJA,경기도,고양시 덕양구
11R2,평택RDC,2577,KRD810,FJA,경기도,고양시 덕양구
11R2,평택RDC,345,KRD810,FJA,경기도,고양시 덕양구
11R2,평택RDC,3904,KRD810,FJA,경기도,고양시 덕양구
11R2,평택RDC,9547,KRD810,FJA,경기도,고양시 덕양구
11R2,평택RDC,KH03923,KRD810,FJA,경기도,고양시 덕양구
11R2,평택RDC,KH08187,KRD810,FJA,경기도,고양시 덕양구
11R2,평택RDC,KH08277,KRD810,FJA,경기도,고양시 덕양구
11R2,평택RDC,KH09446,KRD810,FJA,경기도,고양시 덕양구
11R2,평택RDC,KH11250,KRD810,FKA,경기도,고양시 덕양구
11R2,평택RDC,KP12177,KRD810,FJA,경기도,고양시 덕양구
11R2,평택RDC,KP12593,KRD810,FJA,경기도,고양시 덕양구
11R2,평택RDC,KP13052,KRD810,FJA,경기도,고양시 덕양구
11R2,평택RDC,KP13320,KRD810,FJA,경기도,고양시 덕양구
11R2,평택RDC,KP13629,KRD810,FJA,경기도,고양시 덕양구
11R2,평택RDC,KP13719,KRD810,FJA,경기도,고양시 덕양구
11R2,평택RDC,KP13805,KRD810,FJA,경기도,고양시 덕양구
11R2,평택RDC,10096,KRD811,FJA,경기도,고양시 일산동구
11R2,평택RDC,3013211,KRD811,FJA,경기도,고양시 일산동구
11R2,평택RDC,3018743,KRD811,FJA,경기도,고양시 일산동구
11R2,평택RDC,5942,KRD811,FJA,경기도,고양시 일산동구
11R2,평택RDC,8837,KRD811,FJA,경기도,고양시 일산동구
11R2,평택RDC,9874,KRD811,FJA,경기도,고양시 일산동구
11R2,평택RDC,KH01344,KRD811,FJA,경기도,고양시 일산동구
